date;hours;buy_volume;sell_volume;volume;price
2021-09-18;0 - 1;17,518.1;15,550.1;17,518.1;149.59
2021-09-18;1 - 2;17,300.9;16,053.1;17,300.9;130.64
2021-09-18;2 - 3;17,088.7;16,206.5;17,088.7;125.43
2021-09-18;3 - 4;17,327.0;16,012.0;17,327.0;120.62
2021-09-18;4 - 5;17,137.0;15,934.5;17,137.0;115.02
2021-09-18;5 - 6;17,286.8;15,682.4;17,286.8;117.01
2021-09-18;6 - 7;17,080.4;14,272.6;17,080.4;127.06
2021-09-18;7 - 8;16,908.0;14,594.2;16,908.0;149.09
2021-09-18;8 - 9;16,511.7;16,403.1;16,511.7;162.50
2021-09-18;9 - 10;17,142.5;20,491.7;20,491.7;155.09
2021-09-18;10 - 11;17,644.6;24,378.2;24,378.2;132.88
2021-09-18;11 - 12;18,190.6;27,014.7;27,014.7;124.84
2021-09-18;12 - 13;18,373.5;28,366.3;28,366.3;115.96
2021-09-18;13 - 14;18,304.9;28,424.4;28,424.4;105.11
2021-09-18;14 - 15;17,676.1;27,244.1;27,244.1;105.10
2021-09-18;15 - 16;16,798.3;24,734.4;24,734.4;110.09
2021-09-18;16 - 17;16,400.3;22,016.9;22,016.9;125.94
2021-09-18;17 - 18;16,268.8;18,764.0;18,764.0;136.81
2021-09-18;18 - 19;16,226.5;15,898.2;16,226.5;169.97
2021-09-18;19 - 20;15,669.3;15,631.5;15,669.3;179.91
2021-09-18;20 - 21;15,667.8;16,589.1;16,589.1;178.97
2021-09-18;21 - 22;15,179.6;15,597.3;15,597.3;151.32
2021-09-18;22 - 23;14,455.6;16,701.1;16,701.1;123.73
2021-09-18;23 - 24;14,165.1;16,990.2;16,990.2;97.63
