date;hours;buy_volume;sell_volume;volume;price
2021-09-16;0 - 1;16,165.6;18,653.0;18,653.0;131.45
2021-09-16;1 - 2;16,617.8;19,221.2;19,221.2;129.40
2021-09-16;2 - 3;16,406.9;18,933.6;18,933.6;117.17
2021-09-16;3 - 4;16,414.5;18,812.5;18,812.5;115.96
2021-09-16;4 - 5;16,619.2;18,867.2;18,867.2;115.19
2021-09-16;5 - 6;16,331.5;18,842.5;18,842.5;135.03
2021-09-16;6 - 7;18,699.4;17,266.3;18,699.4;169.72
2021-09-16;7 - 8;20,238.3;20,485.5;20,485.5;194.00
2021-09-16;8 - 9;21,944.4;20,748.0;21,944.4;197.81
2021-09-16;9 - 10;22,066.7;21,060.5;22,066.7;193.91
2021-09-16;10 - 11;22,068.7;22,481.7;22,481.7;186.68
2021-09-16;11 - 12;22,645.6;24,117.5;24,117.5;181.00
2021-09-16;12 - 13;22,478.7;25,725.4;25,725.4;155.36
2021-09-16;13 - 14;22,501.6;26,787.7;26,787.7;145.06
2021-09-16;14 - 15;22,536.3;26,566.5;26,566.5;130.94
2021-09-16;15 - 16;22,102.8;25,149.7;25,149.7;131.40
2021-09-16;16 - 17;21,590.4;23,098.9;23,098.9;133.82
2021-09-16;17 - 18;21,689.1;20,910.8;21,689.1;178.71
2021-09-16;18 - 19;21,939.8;19,329.3;21,939.8;188.11
2021-09-16;19 - 20;21,819.3;19,846.0;21,819.3;197.59
2021-09-16;20 - 21;19,190.7;19,961.9;19,961.9;198.02
2021-09-16;21 - 22;17,640.3;17,937.3;17,937.3;179.78
2021-09-16;22 - 23;16,384.8;18,043.3;18,043.3;170.42
2021-09-16;23 - 24;15,585.9;17,710.6;17,710.6;138.10
