date;hours;buy_volume;sell_volume;volume;price
2021-09-19;0 - 1;13,790.2;18,009.3;18,009.3;81.71
2021-09-19;1 - 2;14,414.0;18,111.1;18,111.1;80.05
2021-09-19;2 - 3;14,540.6;18,369.1;18,369.1;77.60
2021-09-19;3 - 4;14,669.9;18,557.6;18,557.6;76.95
2021-09-19;4 - 5;14,893.3;18,490.5;18,490.5;72.82
2021-09-19;5 - 6;14,905.2;18,263.5;18,263.5;75.77
2021-09-19;6 - 7;14,618.2;17,715.0;17,715.0;76.61
2021-09-19;7 - 8;14,209.9;17,969.8;17,969.8;77.35
2021-09-19;8 - 9;15,138.2;20,693.2;20,693.2;81.58
2021-09-19;9 - 10;15,409.4;24,416.1;24,416.1;82.86
2021-09-19;10 - 11;15,885.9;27,397.8;27,397.8;80.17
2021-09-19;11 - 12;16,660.9;29,018.9;29,018.9;80.65
2021-09-19;12 - 13;16,737.2;29,315.9;29,315.9;82.83
2021-09-19;13 - 14;16,311.2;28,121.9;28,121.9;79.12
2021-09-19;14 - 15;16,485.8;26,862.2;26,862.2;74.16
2021-09-19;15 - 16;16,468.3;24,689.7;24,689.7;78.10
2021-09-19;16 - 17;16,266.6;22,589.3;22,589.3;83.75
2021-09-19;17 - 18;15,783.5;19,479.2;19,479.2;105.07
2021-09-19;18 - 19;16,222.1;17,346.0;17,346.0;149.00
2021-09-19;19 - 20;16,444.4;17,114.6;17,114.6;167.63
2021-09-19;20 - 21;15,327.0;18,134.9;18,134.9;170.63
2021-09-19;21 - 22;14,772.7;17,984.6;17,984.6;119.63
2021-09-19;22 - 23;14,297.5;18,194.5;18,194.5;108.76
2021-09-19;23 - 24;13,537.9;18,516.3;18,516.3;95.68
