date;hours;buy_volume;sell_volume;volume;price
2021-09-17;0 - 1;16,178.5;17,194.5;17,194.5;127.33
2021-09-17;1 - 2;16,920.9;17,669.3;17,669.3;125.43
2021-09-17;2 - 3;16,634.5;17,816.8;17,816.8;123.11
2021-09-17;3 - 4;16,715.0;17,477.1;17,477.1;117.89
2021-09-17;4 - 5;16,753.4;17,234.6;17,234.6;125.92
2021-09-17;5 - 6;17,152.2;16,179.5;17,152.2;134.87
2021-09-17;6 - 7;19,360.5;15,050.9;19,360.5;169.27
2021-09-17;7 - 8;20,020.2;16,619.6;20,020.2;181.97
2021-09-17;8 - 9;22,518.6;19,494.3;22,518.6;188.17
2021-09-17;9 - 10;23,508.2;22,346.9;23,508.2;182.86
2021-09-17;10 - 11;25,109.8;25,273.4;25,273.4;175.33
2021-09-17;11 - 12;25,161.0;26,636.7;26,636.7;167.13
2021-09-17;12 - 13;24,380.2;27,425.1;27,425.1;160.30
2021-09-17;13 - 14;23,802.3;27,745.0;27,745.0;140.66
2021-09-17;14 - 15;23,637.0;27,287.6;27,287.6;140.66
2021-09-17;15 - 16;23,649.1;25,675.9;25,675.9;140.66
2021-09-17;16 - 17;24,143.4;23,346.2;24,143.4;140.66
2021-09-17;17 - 18;24,464.4;21,128.8;24,464.4;165.53
2021-09-17;18 - 19;23,014.9;18,313.4;23,014.9;181.94
2021-09-17;19 - 20;22,207.2;18,323.4;22,207.2;187.90
2021-09-17;20 - 21;19,209.0;16,976.7;19,209.0;185.20
2021-09-17;21 - 22;17,742.2;16,562.4;17,742.2;179.04
2021-09-17;22 - 23;17,553.8;16,933.4;17,553.8;171.27
2021-09-17;23 - 24;18,038.8;16,689.9;18,038.8;153.92
