date;hours;buy_volume;sell_volume;volume;price
2021-09-21;0 - 1;17,557.7;15,952.1;17,557.7;130.12
2021-09-21;1 - 2;16,926.7;15,752.1;16,926.7;128.01
2021-09-21;2 - 3;16,897.3;15,267.2;16,897.3;121.34
2021-09-21;3 - 4;16,677.6;14,738.0;16,677.6;114.94
2021-09-21;4 - 5;17,159.3;15,445.6;17,159.3;119.04
2021-09-21;5 - 6;17,531.5;15,399.6;17,531.5;131.46
2021-09-21;6 - 7;19,831.0;15,310.7;19,831.0;170.00
2021-09-21;7 - 8;21,122.1;17,797.5;21,122.1;189.59
2021-09-21;8 - 9;22,164.1;18,458.6;22,164.1;190.00
2021-09-21;9 - 10;22,219.9;20,583.2;22,219.9;176.92
2021-09-21;10 - 11;23,903.1;23,317.6;23,903.1;160.10
2021-09-21;11 - 12;24,278.5;24,739.5;24,739.5;151.80
2021-09-21;12 - 13;24,540.7;25,790.5;25,790.5;145.06
2021-09-21;13 - 14;24,338.0;25,612.6;25,612.6;132.50
2021-09-21;14 - 15;24,061.3;25,036.0;25,036.0;129.71
2021-09-21;15 - 16;23,903.2;23,362.1;23,903.2;128.53
2021-09-21;16 - 17;23,114.3;21,386.2;23,114.3;132.50
2021-09-21;17 - 18;22,197.4;18,750.6;22,197.4;162.48
2021-09-21;18 - 19;21,406.6;17,747.2;21,406.6;174.88
2021-09-21;19 - 20;21,691.0;17,533.4;21,691.0;190.00
2021-09-21;20 - 21;18,008.7;17,199.3;18,008.7;182.87
2021-09-21;21 - 22;17,533.7;15,995.4;17,533.7;163.08
2021-09-21;22 - 23;16,869.1;16,066.5;16,869.1;141.30
2021-09-21;23 - 24;15,943.3;16,542.1;16,542.1;131.18
