date;hours;buy_volume;sell_volume;volume;price
2021-09-15;0 - 1;14,142.4;16,728.5;16,728.5;135.08
2021-09-15;1 - 2;14,832.2;17,112.4;17,112.4;133.40
2021-09-15;2 - 3;15,056.8;17,059.4;17,059.4;128.95
2021-09-15;3 - 4;15,151.1;16,669.5;16,669.5;123.10
2021-09-15;4 - 5;15,420.4;16,330.4;16,330.4;128.01
2021-09-15;5 - 6;16,572.4;16,021.3;16,572.4;137.01
2021-09-15;6 - 7;17,463.1;15,393.1;17,463.1;166.94
2021-09-15;7 - 8;17,982.4;17,398.6;17,982.4;180.24
2021-09-15;8 - 9;21,134.6;18,712.0;21,134.6;192.11
2021-09-15;9 - 10;21,722.8;19,300.2;21,722.8;191.32
2021-09-15;10 - 11;22,549.1;19,994.7;22,549.1;187.42
2021-09-15;11 - 12;23,383.7;20,770.0;23,383.7;180.80
2021-09-15;12 - 13;23,513.9;21,577.2;23,513.9;180.00
2021-09-15;13 - 14;23,640.0;21,413.6;23,640.0;175.74
2021-09-15;14 - 15;24,126.9;20,790.4;24,126.9;175.76
2021-09-15;15 - 16;23,480.8;20,047.7;23,480.8;179.09
2021-09-15;16 - 17;23,391.4;19,226.5;23,391.4;179.97
2021-09-15;17 - 18;23,403.0;17,787.3;23,403.0;190.00
2021-09-15;18 - 19;23,032.0;16,614.5;23,032.0;192.78
2021-09-15;19 - 20;20,866.5;17,324.6;20,866.5;196.58
2021-09-15;20 - 21;18,280.1;16,425.0;18,280.1;190.00
2021-09-15;21 - 22;17,090.5;16,125.5;17,090.5;176.78
2021-09-15;22 - 23;16,270.3;16,408.4;16,408.4;162.98
2021-09-15;23 - 24;15,355.5;15,912.6;15,912.6;153.02
